YEAR,COUNTRY_CODE,COUNTRY,CATEGORY_CODE,CATEGORY,PARENT,VALUE,UNIT,FOOTNOTES
2014,2,Belgium,GF01,General public services,,8.4,Percentage of gross domestic product (GDP),
2014,3,Bulgaria,GF01,General public services,,2.8,Percentage of gross domestic product (GDP),
2014,6,Czech Republic,GF01,General public services,,4.7,Percentage of gross domestic product (GDP),
2014,7,Denmark,GF01,General public services,,7.3,Percentage of gross domestic product (GDP),
2014,11,Germany,GF01,General public services,,6.5,Percentage of gross domestic product (GDP),
2014,8,Estonia,GF01,General public services,,4.1,Percentage of gross domestic product (GDP),
2014,15,Ireland,GF01,General public services,,5.9,Percentage of gross domestic product (GDP),
2014,12,Greece,GF01,General public services,,10.1,Percentage of gross domestic product (GDP),
2014,28,Spain,GF01,General public services,,7.0,Percentage of gross domestic product (GDP),
2014,10,France,GF01,General public services,,6.6,Percentage of gross domestic product (GDP),
2014,4,Croatia,GF01,General public services,,9.1,Percentage of gross domestic product (GDP),p
2014,16,Italy,GF01,General public services,,8.9,Percentage of gross domestic product (GDP),
2014,5,Cyprus,GF01,General public services,,10.0,Percentage of gross domestic product (GDP),
2014,17,Latvia,GF01,General public services,,4.9,Percentage of gross domestic product (GDP),
2014,18,Lithuania,GF01,General public services,,4.7,Percentage of gross domestic product (GDP),
2014,19,Luxembourg,GF01,General public services,,4.5,Percentage of gross domestic product (GDP),
2014,13,Hungary,GF01,General public services,,9.7,Percentage of gross domestic product (GDP),
2014,20,Malta,GF01,General public services,,6.9,Percentage of gross domestic product (GDP),
2014,21,Netherlands,GF01,General public services,,5.2,Percentage of gross domestic product (GDP),
2014,1,Austria,GF01,General public services,,6.9,Percentage of gross domestic product (GDP),
2014,23,Poland,GF01,General public services,,5.0,Percentage of gross domestic product (GDP),
2014,24,Portugal,GF01,General public services,,8.6,Percentage of gross domestic product (GDP),
2014,25,Romania,GF01,General public services,,4.7,Percentage of gross domestic product (GDP),
2014,27,Slovenia,GF01,General public services,,7.3,Percentage of gross domestic product (GDP),
2014,26,Slovakia,GF01,General public services,,5.5,Percentage of gross domestic product (GDP),
2014,9,Finland,GF01,General public services,,8.3,Percentage of gross domestic product (GDP),
2014,29,Sweden,GF01,General public services,,7.5,Percentage of gross domestic product (GDP),
2014,31,United Kingdom,GF01,General public services,,5.1,Percentage of gross domestic product (GDP),
2014,14,Iceland,GF01,General public services,,8.1,Percentage of gross domestic product (GDP),p
2014,22,Norway,GF01,General public services,,4.4,Percentage of gross domestic product (GDP),
2014,30,Switzerland,GF01,General public services,,4.3,Percentage of gross domestic product (GDP),p
2014,2,Belgium,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,2.5,Percentage of gross domestic product (GDP),
2014,3,Bulgaria,GF0101,"Executive and legislative organs, financial and fiscal affairs, external affairs",GF01,1.5,Percentage of gross domestic product (GDP),
